sensitive_feature_0,count,selection_rate,accuracy,error_rate,TPR,FPR
AfricanAmerican|Female,2427.0,0.00041203131437989287,0.8887515451174289,0.11124845488257108,0.0,0.0004633920296570899
AfricanAmerican|Male,1526.0,0.0,0.8840104849279161,0.11598951507208388,0.0,0.0
Asian|Female,65.0,0.0,0.9692307692307692,0.03076923076923077,0.0,0.0
Asian|Male,77.0,0.0,0.8311688311688312,0.16883116883116883,0.0,0.0
Caucasian|Female,7898.0,0.0029121296530767284,0.8833881995441885,0.1166118004558116,0.004415011037527594,0.002717391304347826
Caucasian|Male,7243.0,0.0015187077177964933,0.891067237332597,0.10893276266740301,0.006345177664974619,0.0009295120061967467
Hispanic|Female,218.0,0.0,0.9174311926605505,0.08256880733944955,0.0,0.0
Hispanic|Male,193.0,0.0,0.8601036269430051,0.13989637305699482,0.0,0.0
Other|Female,144.0,0.0,0.8680555555555556,0.13194444444444445,0.0,0.0
Other|Male,154.0,0.0,0.9090909090909091,0.09090909090909091,0.0,0.0
Unknown|Female,191.0,0.005235602094240838,0.9057591623036649,0.09424083769633508,0.0,0.005747126436781609
Unknown|Male,218.0,0.0045871559633027525,0.908256880733945,0.09174311926605505,0.047619047619047616,0.0
